score, question
4,定期的に新しい友人を作っている, 
6,単純明快なアイデアよりも、複雑で斬新なアイデアのほうがワクワクする, 
2,事実に基づいた議論よりも、感情的に響くものに説得力を感じる, 
5,自分の生活と仕事の空間は、清潔で整理整頓されている, 
6,大きなプレッシャーがあっても通常、冷静でいられる, 
5,人脈を広げたり、見知らぬ人に自分を売り込んだりするのは、とても大変だと感じる, 
5,仕事に優先順位をつけ、効率的に計画を立て、期限よりかなり前に完了させることが多い, 
2,数字やデータより、人々の物語や感情の方があなたに力強く響く, 
6,予定表やリストなどの整理・管理ツールを使うのが好き, 
3,些細なことでも間違えると、自分の能力と知識全般を疑ってしまう, 
2,事前のアレンジなしに、自分が興味のある人のところに行って話しかけるのは簡単, 
3,クリエイティブな作品のさまざまな解釈についての議論には、興味がない, 
6,行動方針を決めるとき、あなたは他の人の感情より事実を大切にします, 
2,何も計画を立てずに一日を過ごすことがよくある, 
4,会う人に好印象を残すかどうかは、ほとんど気にしない, 
4,チームで何かをするのが好き, 
6,未経験の新しいアプローチを試すのは楽しいと感じる, 
3,完全に正直であることよりも、思いやりを持つことを優先する, 
6,新しい経験や知識を積極的に追求する, 
4,物事が悪い方向に向かうのではないかと心配しがち, 
5,グループで行う趣味やアクティビティより、一人で行うものの方が楽しい, 
5,仕事として架空の物語を書いている自分は想像できない, 
5,感情的な面を多少無視してでも、効率的な決断を好む, 
6,やらなければいけないことをしてからリラックスするのが好き, 
3,意見の相違がある場合、他人の感情をいたわるよりも自分の主張を証明することを優先する, 
5,社交の場では大抵、最初に他の人が自己紹介するのを待つ, 
2,とても急に機嫌が変わることがある。, 
6,感情的な議論には簡単に動かされない, 
2,ギリギリのタイミングで最後にやっと何かを行うことが多い, 
6,倫理的なジレンマについて議論するのが好き, 
3,一人でいるより、人と一緒にいる方が好き, 
1,議論がとても理論的になると、退屈に感じたり興味を失ったりする, 
2,事実と感情が相反する場合、たいていは自分の心に従う, 
2,仕事や勉強のために一定のスケジュールを維持するのは難しいと感じる, 
4,一度決めたら、その決断を疑うことはほとんどない, 
3,友達は、自分を活発で社交的な人間だというだろう, 
5,文章を書くなど、さまざまな創造的表現に惹かれる, 
6,通常、感情的な印象よりも客観的な事実に基づいて物事を決める, 
6,1日ごとの「やることリスト」を作るのが好き, 
4,不安はほとんど感じない, 
5,電話はかけないようにしている, 
7,馴染みのないアイデアや視点の探求は楽しい, 
4,初対面でも、簡単に相手と理解し合うことができる, 
5,計画が途中で中断された場合、できるだけ早く再び軌道に乗せることが最も重要だ, 
4,ずっと前に自分がした間違いを、まだ気にしている, 
2,将来の世界の様子についての理論的な議論には、あまり興味がない, 
2,あなたは感情をコントロールするのではなく、感情にコントロールされている, 
3,意思決定をする際、最も論理的で効率的な方法よりも、当事者たちがどう感じるかを重視する, 
3,あなたの仕事のスタイルは「きちんと着実に努力」ではなく「自然発生するエネルギーの爆発の連続」に近い, 
3,誰かに高く評価されると、その人が自分に落胆するのにどれくらい時間がかかるか考えてしまう, 
5,ほぼいつも単独で作業する仕事は魅力的だ, 
2,抽象的な哲学的問題についてじっくり考えるのは時間の無駄だと思う, 
2,静かな隠れ家のような場所より、人が沢山いて賑やかな雰囲気の方が好き, 
3,ある決断が自分にとって正しいと感じれば、それ以上の証拠を必要とせずに行動することが多い, 
3,精神的にいっぱいいっぱいだと、よく感じる, 
5,ひとつも手順を省くことなく、順序を追って、念入りに物事を行う, 
6,明確な手順を踏まなければいけない仕事よりも、創造的な解決策を考える仕事を好む, 
2,意思決定をする際は、「論理的な推論」よりも「感情的な直感」に頼る傾向がある, 
2,締め切りを守るのが苦手, 
5,自分に関連する物事は、うまくいくだろうと自信がある, 
その他,ジェンダー
INTJ-A,結果
67% 内向型,エネルギー
75% 直感型, 意識
67% 思考型, 性質質
71% 計画型, 戦術
64% 自己主張型, アイデンティティ
